block,model,auroc,auprc
A: PTA4-mean,LR,0.9648049052396879,0.8809484351623957
A: PTA4-mean,LightGBM,0.9500492382014121,0.8384921491653801
B: Full PTA,LR,0.9657432181345225,0.8952917710288851
B: Full PTA,LightGBM,0.9551802303976217,0.8930440250574551
C: +Loudness,LR,0.9603465254552213,0.8824960273132308
C: +Loudness,LightGBM,0.9684030100334449,0.9137977481551335
D: +Cognition,LR,0.9590403195837979,0.8750798091450104
D: +Cognition,LightGBM,0.9678205128205128,0.908338583684017
E: Full battery,LR,0.9686519881085098,0.9193672479039046
E: Full battery,LightGBM,0.9778716090672612,0.9375668182343135
