block,model,mae,rmse,r2
A: PTA4-mean,Ridge,1.601809750781073,2.2259914001529078,0.7083610400165756
A: PTA4-mean,RF,1.4817554220758773,2.172426678288403,0.7194734616848486
A: PTA4-mean,LightGBM,1.5073328764171396,2.189274904658686,0.7145560234731151
B: Full PTA,Ridge,1.6509427996277388,2.285443078817125,0.6928280564702856
B: Full PTA,RF,1.2739262815590755,1.8893373363756942,0.789747382765544
B: Full PTA,LightGBM,1.4360655549758083,2.129760862773561,0.7324031993013056
C: +Loudness,Ridge,1.6521323944917818,2.276561974432677,0.6954168585184025
C: +Loudness,RF,1.2546348343775802,1.858421995939041,0.7966084582650057
C: +Loudness,LightGBM,1.3735956397162314,2.008705868698408,0.7607387660238297
D: +Cognition,Ridge,1.6541909293161914,2.2837773198633475,0.693128149716947
D: +Cognition,RF,1.2544450918244565,1.860434380994496,0.7958128121561021
D: +Cognition,LightGBM,1.3653648001050456,2.004950121411917,0.7617478452386898
E: Full battery,Ridge,1.566317805082583,2.1410605334446133,0.7303010842680729
E: Full battery,RF,1.2272139641153488,1.8189379046306606,0.8049037176800873
E: Full battery,LightGBM,1.3325272160618267,1.957745072724667,0.7719091121981565
