block,model,mae,rmse,r2
A: PTA4-mean,Ridge,1.4060018343036234,1.986025708931754,0.5803668785386522
A: PTA4-mean,RF,1.3103470313031864,1.9250069104442222,0.5944159635505976
A: PTA4-mean,LightGBM,1.3175717330126164,1.9205348991286688,0.6004465497309155
B: Full PTA,Ridge,1.3846996505734732,1.9643983372409253,0.5883498368607956
B: Full PTA,RF,1.192340694310683,1.7685873332941473,0.6585010388249949
B: Full PTA,LightGBM,1.3893663825651004,1.9890380859103818,0.5652113326028061
C: +Loudness,Ridge,1.3745835563056767,1.9640654989041768,0.5805445522423732
C: +Loudness,RF,1.1893479437909662,1.7543350072923936,0.6630101624373659
C: +Loudness,LightGBM,1.2878953085927782,1.8541789764589764,0.607770338949065
D: +Cognition,Ridge,1.3697227533544263,1.9718412960018512,0.5790474808735827
D: +Cognition,RF,1.1850622661895502,1.7594782368722144,0.6619539097108502
D: +Cognition,LightGBM,1.2823943315253337,1.847149404904992,0.613529410630256
E: Full battery,Ridge,1.3369486861073467,1.9094617061194625,0.6017893392525328
E: Full battery,RF,1.1474592391841434,1.7358759746292438,0.6721185519632729
E: Full battery,LightGBM,1.2143308539504276,1.788702796327054,0.6407802705753792
