k,r2,top_features
1,0.7653644350261596,pta4_better...
2,0.7476839479794043,"pta4_better, ac_htl_right_2000..."
3,0.7384418131516333,"pta4_better, ac_htl_right_2000, age..."
5,0.7159317152254532,"pta4_better, ac_htl_right_2000, age..."
7,0.7413987080611993,"pta4_better, ac_htl_right_2000, age..."
10,0.7452000634250112,"pta4_better, ac_htl_right_2000, age..."
15,0.7655735784394863,"pta4_better, ac_htl_right_2000, age..."
20,0.784262068925381,"pta4_better, ac_htl_right_2000, age..."
25,0.775524304350948,"pta4_better, ac_htl_right_2000, age..."
30,0.7801585982949792,"pta4_better, ac_htl_right_2000, age..."
41,0.7740966334943147,"pta4_better, ac_htl_right_2000, age..."
