feature,shap_mean,shap_std,shap_cv
pta4_better,1.8146803491198238,0.07760308194085314,0.04276405039362937
ac_htl_right_2000,0.320118061725774,0.054949135540167275,0.171652717976239
age,0.2785141029746871,0.03540856689993363,0.12713383772892073
ls_mlow_left,0.24781058679702048,0.03161741405050081,0.12758701850301232
ac_htl_right_4000,0.21422665988385253,0.02385684688149172,0.11136264171351767
pta4_worse,0.1729172430161428,0.07398410641744134,0.42785846396287985
ac_htl_left_2000,0.17277399293058035,0.018677602225679914,0.10810424532516434
ac_htl_right_250,0.1656151245882021,0.03394225742562536,0.20494660318660712
ac_htl_right_1500,0.13990465961787119,0.030534046845803627,0.21824896119224252
ac_htl_left_1500,0.13642283103795216,0.05079590449173086,0.3723416654889534
ac_htl_left_4000,0.1242764766826238,0.026349775373084538,0.21202544410999777
ls_mcut_left,0.12290056258332778,0.02280002908620708,0.185516066171238
pta4_right,0.12135220074816855,0.059853509698460226,0.49322145652263405
ac_htl_right_750,0.11588613177275228,0.023154674224941794,0.19980539233582947
hl_progressing,0.10649685251811705,0.02660667564755189,0.24983532159497662
ls_mlow_right,0.10233760978140802,0.022934132834991593,0.2241026799421636
ls_mhigh_left,0.09962570489505503,0.030657074272635962,0.3077225300157963
ls_mhigh_right,0.09629755339214456,0.031535715264336676,0.32748199539851647
verbal_iq,0.09478746295182813,0.023547139272276984,0.24842039538312638
pta4_left,0.09462452696351259,0.026485358746867423,0.27989950720895784
ac_htl_left_250,0.08493065936997284,0.02938808153890251,0.3460244087457095
slope_right,0.08336978750681823,0.017868267291802426,0.2143254482448532
ls_mcut_right,0.07828908764347706,0.022173417447551483,0.2832248763110227
ac_htl_left_1000,0.0720767529194988,0.029887222859521178,0.4146582807114436
demtect,0.06583125296539412,0.010869142507611895,0.16510611378184498
net_income,0.0651677813272185,0.018131919116503133,0.27823440462435395
ucl_mean_right,0.06236985224633897,0.018928526481522653,0.3034883921685952
ac_htl_left_500,0.058292344804459204,0.029905096086556716,0.5130192596275489
slope_left,0.05659310471784116,0.012746708081737428,0.2252342917048814
ls_mcut_asym,0.05178411564973344,0.009492403357162442,0.18330723726290124
ucl_mean_left,0.04551192288770682,0.006777845899778006,0.14892461844727164
ac_htl_right_1000,0.043970200089618994,0.009347933353233192,0.21259701164842212
pta4_asym,0.03879620032385344,0.013770125414838992,0.35493488911174853
ha_supply_status,0.037851814592955856,0.0174299795515977,0.4604793529333738
ac_htl_right_500,0.036482025210237544,0.0070977260981990925,0.19455405402365883
ac_htl_left_750,0.03448728567002709,0.013786381430795875,0.3997525686118306
school,0.019104907537750092,0.0062133615963568,0.32522331023357637
hl_family_often,0.016346023108534925,0.008785180128774609,0.5374505794462586
education,0.016344516108978337,0.00406609557358916,0.24877428598704707
hl_fluctuating,0.004357915247758065,0.0033501374367977065,0.7687475495934986
sex_m,0.0025608587825391585,0.001341646274028665,0.5239046210872147
